approved_id,status,category,target_item,priority,source,score,title,url,thing_id,license,creator,like_count,make_count,snippet,why_matched,folder_slug,file_formats,source_file_count,printable_file_count,has_step,has_parametric_source,file_notes
6641acc2f113,approved,Comms,coax pass through plate,medium,thingiverse,16,Cable Pass Through Wall Plate,https://www.thingiverse.com/thing:2634134,2634134,,Teece,115,2,https://cdn.thingiverse.com/assets/bd/f7/30/eb/d2/Screen_Shot_2017-11-08_at_4.02.37_PM.png,target-overlap:3x4; good:cable; concise-title,cable_pass_through_wall_plate,,,,unknown,unknown,not checked
3b31081a962c,approved,Comms,coax pass through plate,medium,thingiverse,16,Cable Pass-Through Wall Plate,https://www.thingiverse.com/thing:4603289,4603289,,junebugin,62,,https://cdn.thingiverse.com/assets/80/09/fa/d9/fe/Cable_Passthrough_faceplate_1.PNG,target-overlap:3x4; good:cable; concise-title,cable_pass_through_wall_plate,,,,unknown,unknown,not checked
6af2ff5dc094,approved,Comms,coax pass through plate,medium,thingiverse,16,Cable Pass-through Wall Plate,https://www.thingiverse.com/thing:4271396,4271396,,AtoMic09,18,1,https://cdn.thingiverse.com/assets/36/b8/0f/17/4f/20200408_192953.jpg,target-overlap:3x4; good:cable; concise-title,cable_pass_through_wall_plate,,,,unknown,unknown,not checked
79d5aacd0aa9,approved,Comms,coax pass through plate,medium,thingiverse,16,Cable Pass Through Brush Plate,https://www.thingiverse.com/thing:3538504,3538504,,_Happy_,25,,https://cdn.thingiverse.com/assets/4c/f9/fd/74/1e/IMG_20190403_150513.jpg,target-overlap:3x4; good:cable; concise-title,cable_pass_through_brush_plate,,,,unknown,unknown,not checked
2bd8650f686c,approved,Comms,dipole center insulator,high,thingiverse,16,Dipole center insulator,https://www.thingiverse.com/thing:6642298,6642298,,Murvel,34,,https://cdn.thingiverse.com/assets/8d/1c/07/1b/a4/cf738d38-006a-40c6-bc9c-4c13d067d942.jpg,target-overlap:3x4; good:pole; concise-title,dipole_center_insulator,,,,unknown,unknown,not checked
a3d68af12de5,approved,Comms,dipole center insulator,high,thingiverse,14,Wire dipole insulator,https://www.thingiverse.com/thing:7922,7922,,plataformacero,167,2,https://cdn.thingiverse.com/renders/54/bb/d3/1c/4e/20042011158_display_large.jpg,target-overlap:2x4; good:pole; good:wire; concise-title,wire_dipole_insulator,,,,unknown,unknown,not checked
3dbaec8ebc06,approved,Comms,dipole center insulator,high,thingiverse,14,Top of the Pole - Dipole Antenna Centre Insulator,https://www.thingiverse.com/thing:894073,894073,,Sterminato,407,8,https://cdn.thingiverse.com/assets/9a/40/6c/85/8a/mini-dipole-002.jpg,target-overlap:2x4; good:antenna; good:pole; concise-title,top_of_the_pole_dipole_antenna_centre_insulator,,,,unknown,unknown,not checked
e71923959b1c,approved,Comms,dipole center insulator,high,thingiverse,14,Dipole Antenna Insulator Block - k2fiq,https://www.thingiverse.com/thing:299896,299896,,fiquett,163,,https://cdn.thingiverse.com/renders/c6/12/79/91/d8/IMG_5536.jpg,target-overlap:2x4; good:antenna; good:pole; concise-title,dipole_antenna_insulator_block_k2fiq,,,,unknown,unknown,not checked
92c65c1a896a,approved,Comms,dipole center insulator,high,thingiverse,12,dipole center connector V2.0,https://www.thingiverse.com/thing:2120885,2120885,,vo1pwf,249,7,https://cdn.thingiverse.com/assets/55/5e/0b/1d/79/3dmodel_20_4.jpg,target-overlap:2x4; good:pole; concise-title,dipole_center_connector_v2_0,,,,unknown,unknown,not checked
9a0dd1b26e98,approved,Comms,end insulator,high,thingiverse,14,Antenna wire End Insulator,https://www.thingiverse.com/thing:1740873,1740873,,SV9RHE,15,,https://cdn.thingiverse.com/renders/d6/4c/a0/e1/0d/0a1d83f7c896322fc3943c3a74248198.png,target-overlap:2x4; good:antenna; good:wire; concise-title,antenna_wire_end_insulator,,,,unknown,unknown,not checked
